Vlast,Jméno,ID hráče,Specialita,Zranění ,Na přestupové listině,Věk,dní,TSI,Zkušenost,Vůdcovství,Forma,Kondice,Zápasy za Národní tým,Zápasy za NT U21,Hráč národního týmu!
Maroko,Mehmed 'Athos' Driouech,454527272,,,,21,73,139550,6,5,8,8,0,18,1
Maroko,Mustapha Zoubir,453114986,Nepředvídatelný,,,22,6,128320,5,2,8,8,0,9,1
Maroko,Abdelmajid 'Le balafré' Balafrej,453354678,Rychlý,,,21,97,120590,6,5,7,8,0,22,1
Maroko,Hadi Zerrawi,453360346,,,,21,98,116600,5,5,7,8,0,8,1
Maroko,Abdettawab Majidi,453264845,Hlavičkář,,,21,105,107560,3,2,7,8,0,8,0
Maroko,Fouad Hammadi,453038193,Hlavičkář,,,22,5,104550,8,6,7,8,0,22,1
Maroko,Abdelhaye Haytour,454199988,Nepředvídatelný,,,21,80,102890,3,5,8,8,0,1,0
Maroko,Abdelqawi 'Porthos' Taleb,455034446,Silový,,,21,36,99520,5,4,8,8,0,5,1
Maroko,Ghani Ichafi,453263348,,,,21,101,98250,4,2,7,8,0,7,1
Maroko,Ferhat 'kakker' Moussaid,454920353,Hlavičkář,,,21,36,93910,4,6,8,8,0,10,1
Maroko,Chakib Quettani,453269999,,,,21,100,93880,6,4,7,8,0,15,1
Maroko,Zakariya Benabdlakrim,453022512,Hlavičkář,,,22,6,92460,5,5,6,7,0,4,0
Maroko,Moumen 'Aramis' Taqui,455700879,Technický,,,21,9,91770,4,2,6,8,0,4,1
Maroko,Fathi Makhit,457847225,Rychlý,,,20,27,84410,4,4,8,6,0,0,0
Maroko,Abdelmouhaïmine Karami,456533801,,,,20,84,80690,3,2,7,8,0,0,0
Maroko,Karim Rahim,455523855,,,,21,21,80080,3,4,7,8,0,1,1
Maroko,Yassir 'El pepito' Baddou,454686690,Hlavičkář,,,21,46,79610,4,4,6,8,0,5,1
Maroko,Abdelali 'D'Artagnan' Saib,457846939,Technický,,,20,27,76690,4,3,8,7,0,2,1
Maroko,Houssam Bakhite,457070737,Rychlý,,,20,42,73880,3,3,7,7,0,0,0
Maroko,Hadi Defour,454802502,Technický,,,21,56,73820,3,5,8,8,0,1,1
Maroko,Bachar 'Pepito' Amrani,455055580,Rychlý,,,21,36,73740,5,4,5,8,0,11,1
Maroko,Chadi Berjawi,454763060,Rychlý,,,21,44,72870,3,5,7,8,0,0,0
Maroko,Nouri Antaki,453013538,Rychlý,,,22,7,69670,6,3,7,8,0,16,1
Maroko,Ayoub Aloudi,454296796,Nepředvídatelný,,,21,75,68510,5,4,7,8,0,4,1
Maroko,Yassine Moniri,454677566,,,,21,49,67310,3,5,6,7,0,2,1
Maroko,Mhammad Rakham,455058187,,,,21,63,63970,3,2,7,7,0,0,0
Maroko,Abdelhalim Merakchi,454139519,Silový,,,21,104,63740,3,4,7,8,0,0,0
Maroko,Maysar El-Alaoui,454812246,,,,21,43,63140,4,2,7,8,0,0,0
