Vlast,Jméno,ID hráče,Specialita,Zranění ,Na přestupové listině,Věk,dní,TSI,Zkušenost,Vůdcovství,Forma,Kondice,Chytání,Bránění,Tvorba hry,Křídlo,Přihrávky,Zakončování,Standardky,Zápasy za Národní tým,Zápasy za NT U21,Hráč národního týmu!
Česká republika,Adam Očadlík,455847285,Silový,,,21,28,97670,5,3,8,8,1,15,5,4,9,4,3,0,2,1
Česká republika,Adolf Slanina,457518117,Hlavičkář,,,20,69,53490,2,2,8,7,1,13,4,4,9,4,2,0,0,0
Česká republika,Aleš Sýkora,455241773,,,,21,61,80810,5,4,6,7,1,15,5,3,9,3,6,0,1,1
Česká republika,Alexander Hemala,458290694,Nepředvídatelný,,,20,34,57740,3,6,7,7,1,5,6,2,9,13,1,0,0,0
Česká republika,Alois Dutka,455454057,Rychlý,,,21,53,73610,6,2,5,8,1,14,10,5,6,5,1,0,6,1
Česká republika,Antonín Kučera,456741295,Hlavičkář,,,20,97,83420,3,3,6,7,1,3,15,3,7,4,3,0,0,0
Česká republika,Antonín Radkovič,455682449,Rychlý,,,21,40,125530,5,5,8,8,1,5,11,16,6,2,2,0,6,1
Česká republika,Arnošt Jakubský,457770352,Nepředvídatelný,,,20,60,95400,3,1,8,7,1,5,7,16,9,4,2,0,0,0
Česká republika,Bartoloměj Górecki,455805927,Rychlý,,,21,33,97280,3,3,6,7,1,2,16,2,4,4,3,0,0,0
Česká republika,Blažej Nikolov,456653787,Silový,,,20,104,109480,5,5,8,8,1,6,15,3,7,6,3,0,0,0
Česká republika,Bohumír Jiroš,455390018,Hlavičkář,,,21,57,134560,6,4,8,8,1,3,12,15,8,4,2,0,8,1
Česká republika,Bohumír Tošovský,458140630,Nepředvídatelný,,,20,44,54740,3,3,8,7,1,13,3,11,6,4,6,0,0,0
Česká republika,Bohuslav Šimral,456810160,Hlavičkář,,,20,94,20550,2,4,7,8,1,12,2,4,3,3,15,0,0,0
Česká republika,Čestmír Maršálek,454269259,Silový,,,21,104,81030,3,5,7,7,2,4,6,5,8,15,2,0,0,0
Česká republika,Čestmír Obrtel,458166866,,,,20,42,55690,3,1,5,7,1,6,14,4,7,3,6,0,0,0
Česká republika,Čestmír Vít,457821522,Hlavičkář,,,20,58,84590,4,7,7,7,1,4,15,3,5,6,3,0,0,0
Česká republika,Daniel Radejovský,455321213,Nepředvídatelný,,,21,57,110360,4,6,7,8,1,3,4,4,9,15,2,0,0,0
Česká republika,Daniel 'Šťovík' Šťovíček,454751782,Rychlý,,,21,71,124870,8,4,7,8,1,14,6,11,6,5,4,0,21,1
Česká republika,David Molnár,455821666,Hlavičkář,,,21,32,59270,4,5,5,7,1,2,7,6,7,14,2,0,0,0
Česká republika,Denis Sus,458230631,Rychlý,,,20,39,60920,3,5,7,6,1,6,14,4,7,5,3,0,0,0
Česká republika,Drahoslav 'Form Monkey' Kern,455600683,Rychlý,,,21,48,94450,5,7,7,8,1,4,3,13,7,13,1,0,1,0
Česká republika,Eduard Šobáň,455784396,,,,21,34,82600,3,1,8,8,1,15,5,7,6,2,4,0,0,0
Česká republika,Emanuel Zapletal,457061672,Technický,,,20,74,90080,4,6,6,7,1,4,9,16,7,5,6,0,0,0
Česká republika,Emil Tolar,457953697,Silový,,,20,54,54730,4,3,7,7,1,13,6,8,7,3,3,0,0,0
Česká republika,Ervín Belák,455800631,Rychlý,,,21,32,97300,4,4,6,8,1,4,11,14,6,5,3,0,0,0
Česká republika,Ervín Janouch,455601177,Nepředvídatelný,,,21,47,100550,3,2,7,8,1,3,5,6,8,15,2,0,0,0
Česká republika,Filip Nutil,456975936,,,,20,82,88590,3,2,8,7,17,4,1,1,2,1,13,0,0,0
Česká republika,František 'Maedhros' Mervart,456959977,Technický,,,20,81,69970,4,6,6,7,1,3,4,12,7,13,4,0,0,0
Česká republika,František Nekovář,454324608,Hlavičkář,,,21,101,79210,3,6,5,7,1,3,6,9,2,15,4,0,0,0
Česká republika,Grzegorz Kozielski,455822614,,,,21,36,78480,4,5,5,8,1,5,15,3,9,3,6,0,0,0
Česká republika,Heřman Šárka,457003038,Silový,,,20,77,86820,3,5,7,7,1,6,15,3,4,5,1,0,0,0
Česká republika,Horymír Cahlík,458590425,Silový,,,20,31,50490,3,2,6,7,1,5,8,6,7,13,3,0,0,0
Česká republika,Hubert Pagáčik,456127989,,,,21,11,73640,4,4,6,8,1,14,9,4,5,6,3,0,0,0
Česká republika,Igor 'Med' Turecký,455598077,Silový,,,21,47,102660,4,2,7,8,1,4,11,4,6,14,4,0,0,0
Česká republika,Ivo Kaňok,455792544,Nepředvídatelný,,,21,36,87800,4,3,8,7,1,3,5,6,7,15,3,0,0,0
Česká republika,Jacob Benke-Schechinger,456714299,Technický,,,20,101,73150,4,7,8,7,1,14,3,7,5,5,8,0,0,0
Česká republika,Jan 'Diablo' Henčl,457409818,Technický,,,20,66,111000,4,5,7,7,1,5,10,16,6,6,5,0,0,0
Česká republika,Jan Hodr,456840654,Nepředvídatelný,,,20,95,75680,3,5,7,7,1,4,3,4,7,15,3,0,0,0
Česká republika,Jan Hříbal,456940690,,1,,20,84,52720,4,2,8,7,1,14,3,4,9,5,3,0,0,0
Česká republika,Jan Mráček,456909999,,,,20,86,65790,4,5,7,7,2,5,13,7,8,7,6,0,0,0
Česká republika,Jan Stupka,457084319,Silový,,,20,75,61760,3,6,7,7,1,12,12,4,4,3,3,0,0,0
Česká republika,Jan Sušeň,456931249,Technický,,,20,85,50020,4,4,7,7,1,13,9,4,6,4,2,0,0,0
Česká republika,Jaromír Bubík,455268671,Technický,,,21,63,112010,4,3,7,8,1,5,15,10,3,6,4,0,0,0
Česká republika,Jaromír Horký,455762914,Rychlý,,,21,34,91960,5,3,7,8,1,3,7,5,9,14,3,0,0,0
Česká republika,Jaromír Slezáček,455822436,Nepředvídatelný,,,21,37,98510,3,4,7,8,1,4,4,4,8,15,1,0,0,0
Česká republika,Jaroslav Dvořák,454480892,Rychlý,,,21,89,106130,4,4,7,8,1,2,5,3,7,16,6,0,0,0
Česká republika,Jaroslav Finger,457047754,Technický,,,20,74,74930,3,5,5,7,1,4,9,16,7,3,4,0,0,0
Česká republika,Jaroslav Matouš,454406632,Hlavičkář,,,21,95,106590,6,3,5,8,1,3,7,4,9,15,2,0,7,1
Česká republika,Jaroslav Šoukal,455532916,Silový,,,21,52,129500,5,2,8,8,1,6,16,3,5,7,2,0,4,1
Česká republika,Jaroslav Zapletal,455626387,Rychlý,,,21,45,111450,5,5,6,8,1,4,12,15,6,4,6,0,1,0
Česká republika,Jaroslav Zimmel,454474682,Nepředvídatelný,,,21,90,136400,3,4,8,7,1,5,16,4,6,4,5,0,0,0
Česká republika,Jindřich Budský,455814586,Rychlý,,,21,31,119230,4,2,6,8,1,5,16,7,3,7,2,0,0,0
Česká republika,Jiří Roman,455211773,Nepředvídatelný,,,21,62,100410,5,4,7,8,1,14,11,6,4,3,2,0,0,0
Česká republika,Josef Hart,455812191,Silový,,,21,31,112060,7,5,7,8,1,4,10,5,7,14,1,0,13,1
Česká republika,Josef Hnyk,456999817,,,,20,77,87760,4,2,7,7,17,3,1,1,1,1,12,0,0,0
Česká republika,Josef Jebavý,454772967,,,,21,69,122660,4,2,8,8,1,4,16,7,4,5,3,0,0,0
Česká republika,Josef Kleveta,454768277,Rychlý,,,21,70,127950,4,2,5,7,1,6,7,18,6,4,4,0,0,0
Česká republika,Josef Stankuš,455492027,Silový,,,21,52,74210,5,5,5,8,1,14,10,6,7,4,1,0,0,0
Česká republika,Kamil Žampa,457735732,,,,20,61,51370,3,6,7,7,1,14,4,6,4,5,9,0,0,0
Česká republika,Karel 'Doctor' Janda,457140838,Hlavičkář,,,20,68,82610,3,5,6,7,1,5,10,15,5,4,4,0,0,0
